"Date","Observed","Trend","Seasonal","Random"
1991-04-01,28,35.35,-0.504079715219421,-6.84592028478057
1991-05-01,13,35.2416666666667,14.6413964752568,-36.8830631419234
1991-06-01,95.6,34.5833333333333,23.7865435340803,37.2301231325864
1991-07-01,68.2,32.2,17.056872665733,18.943127334267
1991-08-01,59.4,31.775,11.759491713352,15.865508286648
1991-09-01,69,34.725,5.93758695144724,28.3374130485528
1991-10-01,6.8,37.6166666666667,-0.76717495331466,-30.049491713352
1991-11-01,24.6,40.3416666666667,-11.6938416199813,-4.04782504668533
1991-12-01,5.6,41.0166666666667,-10.1059844771242,-25.3106821895425
1992-01-01,0.6,38.3583333333333,-19.9509844771242,-17.8073488562092
1992-02-01,12.2,39.15,-18.1926511437908,-8.75734885620915
1992-03-01,63,42.8583333333333,-11.9671749533147,32.1088416199813
1992-04-01,38.8,47.55,-0.504079715219421,-8.24592028478057
1992-05-01,67.6,52.1083333333333,14.6413964752568,0.850270191409898
1992-06-01,57.2,57.3666666666667,23.7865435340803,-23.953210200747
1992-07-01,42.8,62.175,17.056872665733,-36.4318726657329
1992-08-01,103.8,63.5583333333333,11.759491713352,28.4821749533147
1992-09-01,113.6,61.8083333333333,5.93758695144724,45.8540797152194
1992-10-01,74.8,58.3666666666667,-0.76717495331466,17.200508286648
1992-11-01,66,55.6416666666667,-11.6938416199813,22.0521749533147
1992-12-01,90.4,53.5833333333333,-10.1059844771242,46.9226511437909
1993-01-01,31.2,53.1416666666667,-19.9509844771242,-1.99068218954248
1993-02-01,14.8,51.1166666666667,-18.1926511437908,-18.1240155228758
1993-03-01,18.4,46.4,-11.9671749533147,-16.0328250466853
1993-04-01,0.8,44.2833333333333,-0.504079715219421,-42.9792536181139
1993-05-01,40.2,42.6166666666667,14.6413964752568,-17.0580631419234
1993-06-01,35.2,40.825,23.7865435340803,-29.4115435340803
1993-07-01,54.2,40.6916666666667,17.056872665733,-3.54853933239962
1993-08-01,43.8,40.7333333333333,11.759491713352,-8.69282504668534
1993-09-01,60.4,40.1166666666667,5.93758695144724,14.3457463818861
1993-10-01,77.2,39.6666666666667,-0.76717495331466,38.300508286648
1993-11-01,23.6,39.675,-11.6938416199813,-4.38115838001867
1993-12-01,89.8,40.95,-10.1059844771242,58.9559844771242
1994-01-01,28.6,42.05,-19.9509844771242,6.50098447712418
1994-02-01,18.4,40.35,-18.1926511437908,-3.75734885620915
1994-03-01,0,37.5083333333333,-11.9671749533147,-25.5411583800187
1994-04-01,8.4,34.7416666666667,-0.504079715219421,-25.8375869514472
